id,class,petal length,petal width,sepal length,sepal width,cluster
104,Iris-virginica,5.6,1.8,6.3,2.9,0
105,Iris-virginica,5.8,2.2,6.5,3.0,0
106,Iris-virginica,6.6,2.1,7.6,3.0,0
108,Iris-virginica,6.3,1.8,7.3,2.9,0
111,Iris-virginica,5.1,2.0,6.5,3.2,0
112,Iris-virginica,5.3,1.9,6.4,2.7,0
113,Iris-virginica,5.5,2.1,6.8,3.0,0
114,Iris-virginica,5.0,2.0,5.7,2.5,2
115,Iris-virginica,5.1,2.4,5.8,2.8,0
116,Iris-virginica,5.3,2.3,6.4,3.2,0
117,Iris-virginica,5.5,1.8,6.5,3.0,0
119,Iris-virginica,6.9,2.3,7.7,2.6,0
120,Iris-virginica,5.0,1.5,6.0,2.2,2
121,Iris-virginica,5.7,2.3,6.9,3.2,0
122,Iris-virginica,4.9,2.0,5.6,2.8,2
123,Iris-virginica,6.7,2.0,7.7,2.8,0
124,Iris-virginica,4.9,1.8,6.3,2.7,2
125,Iris-virginica,5.7,2.1,6.7,3.3,0
126,Iris-virginica,6.0,1.8,7.2,3.2,0
127,Iris-virginica,4.8,1.8,6.2,2.8,2
128,Iris-virginica,4.9,1.8,6.1,3.0,0
129,Iris-virginica,5.6,2.1,6.4,2.8,0
130,Iris-virginica,5.8,1.6,7.2,3.0,0
131,Iris-virginica,6.1,1.9,7.4,2.8,0
133,Iris-virginica,5.6,2.2,6.4,2.8,0
134,Iris-virginica,5.1,1.5,6.3,2.8,2
135,Iris-virginica,5.6,1.4,6.1,2.6,2
136,Iris-virginica,6.1,2.3,7.7,3.0,0
137,Iris-virginica,5.6,2.4,6.3,3.4,0
138,Iris-virginica,5.5,1.8,6.4,3.1,0
139,Iris-virginica,4.8,1.8,6.0,3.0,0
140,Iris-virginica,5.4,2.1,6.9,3.1,0
141,Iris-virginica,5.6,2.4,6.7,3.1,0
142,Iris-virginica,5.1,2.3,6.9,3.1,0
143,Iris-virginica,5.1,1.9,5.8,2.7,2
144,Iris-virginica,5.9,2.3,6.8,3.2,0
145,Iris-virginica,5.7,2.5,6.7,3.3,0
146,Iris-virginica,5.2,2.3,6.7,3.0,0
147,Iris-virginica,5.0,1.9,6.3,2.5,2
148,Iris-virginica,5.2,2.0,6.5,3.0,0
149,Iris-virginica,5.4,2.3,6.2,3.4,0
150,Iris-virginica,5.1,1.8,5.9,3.0,0
